model,threshold,precision,recall,f1,specificity,fpr,accuracy,tn,fp,fn,tp
Semantics_Corrected_Fusion,0.09,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.1,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.11,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.12,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.13,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.14,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.15,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.16,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.17,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.18,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.19,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.2,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.21,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.22,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.23,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.24,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.25,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.26,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.27,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.28,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.29,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.3,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.31,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.32,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.33,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.34,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.35,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.36,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.37,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.38,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.39,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.4,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.41,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.42,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.43,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.44,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.45,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.46,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.47,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
